Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713913469.798817,818,1713913469,185448884,,2.000025510787964,-1.0000640153884888,0.0007904224330559373,2.0,-1.0,0.3211240149615335,-2.5510787963867188e-05,6.401538848876953e-05,0.32033359252847754,0.0,0.0,0.0,0.00030799719388596714,-0.0008041812689043581,0.011340726166963577,0.0,0.0,0.0,-0.00030799719388596714,0.0008041812689043581,-0.011340726166963577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019122569938190281,5.956279710517265e-05,-0.00012929519289173186,1.0,-0.0005035298383777671,-0.0017692900635717327,0.0,0.999998308033755,0.0003824359867005811,0.00011917503684683667,-0.00025856759593078255,-0.0010070644480693598,-0.003538581524740391,1.781791834902609e-06,-1.0056401151814498e-05,-6.366180514305597e-06,4.658154011849547e-06,0.0,0.0,0.0,-0.04575036093592644,0.013020290993154049,12.928950309753418,7.242473602294922,0.001640282804146409,1.1409903764724731,8.142675505951047e-05,-0.00013213294732850045,-0.0013031942071393132,True
1713913469.8042212,819,1713913469,798573255,,1.9999154806137085,-1.0001838207244873,0.000776362547185272,2.0,-1.0,0.3431240149615335,8.45193862915039e-05,0.0001838207244873047,0.3423476524143482,0.0,0.0,0.0,-0.0030658645555377007,-0.005476220510900021,0.014169001020491123,0.0,0.0,0.0,0.0030658645555377007,0.005476220510900021,-0.014169001020491123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003839136043097824,0.00012383492139633745,8.557052206015214e-05,0.9999999403953552,-0.0019029603505977056,-0.002930614388877273,0.0,0.999993895101969,0.0007678484160458656,0.00024760411459767755,0.00017123611512214618,-0.003805972029742429,-0.005861226554899654,1.1153877559556986e-05,-0.018001321703195572,-0.006930719595402479,0.033942487090826035,0.0,0.0,0.0,-0.07799030840396881,0.05064210295677185,13.305893898010254,7.242473602294922,0.3387010991573334,1.1416577100753784,0.014547642320394516,-0.025546032935380936,-0.27014392614364624,True
1713913469.814277,820,1713913469,808681726,,1.999896764755249,-1.000207543373108,0.0008110170601867139,2.0,-1.0,0.3451240149615335,0.00010323524475097656,0.00020754337310791016,0.3443129979013468,0.0,0.0,0.0,-0.0028296399395912886,-0.004865656606853008,0.015380272641777992,0.0,0.0,0.0,0.0028296399395912886,0.004865656606853008,-0.015380272641777992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030302401864901185,1.7228669094038196e-05,0.0001411162957083434,0.9999999403953552,-0.001926913440482535,-0.002920633847841321,0.0,0.9999938784325231,0.0006060529054737098,3.4371813133603114e-05,0.00028224302193454674,-0.003853878576923327,-0.005841265155608075,1.1255809258195769e-05,-0.01387179084122181,-0.01628188043832779,0.02362854592502117,0.0,0.0,0.0,-0.07775884866714478,0.05130207538604736,13.311737060546875,7.242473602294922,0.3465261161327362,1.1417802572250366,0.014851591549813747,-0.026108883321285248,-0.27628079056739807,True
1713913469.8243587,821,1713913469,818693637,,1.999884009361267,-1.0002251863479614,0.0008599889115430415,2.0,-1.0,0.3491240149615335,0.00011599063873291016,0.00022518634796142578,0.34826402604999046,0.0,0.0,0.0,-0.002447528298944235,-0.004731290973722935,0.01760474592447281,0.0,0.0,0.0,0.002447528298944235,0.004731290973722935,-0.01760474592447281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002388273278484121,-0.00012294473708607256,0.00018351881590206176,1.0,-0.0019282168183243607,-0.002942691579963652,0.0,0.9999938112539332,0.0004776095124116136,-0.00024597710923692303,0.0003669788871786014,-0.0038564861189666648,-0.005885380712741181,1.1348491333785012e-05,-0.017710093408823013,-0.031312666833400726,0.003650806611403823,0.0,0.0,0.0,-0.07837338745594025,0.05135464295744896,13.316368103027344,7.242473602294922,0.3542957007884979,1.1406000852584839,0.015134698711335659,-0.026637770235538483,-0.2820563316345215,True
1713913469.834496,822,1713913469,828688383,,1.9998788833618164,-1.0002365112304688,0.0009458388667553663,2.0,-1.0,0.3511240149615335,0.00012111663818359375,0.00023651123046875,0.35017817609477814,0.0,0.0,0.0,-0.002045371802523732,-0.004327089060097933,0.02239597775042057,0.0,0.0,0.0,0.002045371802523732,0.004327089060097933,-0.02239597775042057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.274155359482393e-05,-0.0002728160179685801,0.00010031576675828546,1.0,-0.001883825683874587,-0.003039911723141845,0.0,0.9999936050483064,0.00014542838079840867,-0.0005456466082726445,0.00020059185659115008,-0.003767705822743662,-0.006079822022033048,1.1453539246793317e-05,-0.0421224981546402,-0.02011328935623169,-0.02293870411813259,0.0,0.0,0.0,-0.08097753673791885,0.05018157511949539,13.318804740905762,7.242473602294922,0.36206886172294617,1.142572045326233,0.015479864552617073,-0.0272488035261631,-0.2887515425682068,True
1713913469.8436055,823,1713913469,838670492,,1.999873161315918,-1.0002447366714478,0.0010846421355381608,2.0,-1.0,0.3551240149615335,0.00012683868408203125,0.0002447366714477539,0.35403937282599535,0.0,0.0,0.0,-0.0023192688822746277,-0.004214833490550518,0.02798854000866413,0.0,0.0,0.0,0.0023192688822746277,0.004214833490550518,-0.02798854000866413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012460473226383328,-0.00032312102848663926,-8.904984133550897e-05,1.0,-0.0018789230434606576,-0.0029970357634345685,0.0,0.9999937436928441,-0.00024915193952545025,-0.0006462642113891866,-0.00017801917320617335,-0.0037578989295725547,-0.005994069919416083,1.126260144191333e-05,-0.05697508528828621,-0.021404407918453217,-0.02223808318376541,0.0,0.0,0.0,-0.079807348549366,0.050033390522003174,13.314130783081055,7.242473602294922,0.3697689473628998,1.1442139148712158,0.015772590413689613,-0.02774639055132866,-0.2942526638507843,True
1713913469.8546712,824,1713913469,848683357,,1.999865174293518,-1.0002427101135254,0.00127999612595886,2.0,-1.0,0.3571240149615335,0.0001348257064819336,0.00024271011352539062,0.35584401883557465,0.0,0.0,0.0,-0.0027743105310946703,-0.003113545011729002,0.03358616679906845,0.0,0.0,0.0,0.0027743105310946703,0.003113545011729002,-0.03358616679906845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003191508003510535,-0.00042547978227958083,-8.255049760919064e-05,0.9999998807907104,-0.001827765997541546,-0.0029714423048541176,0.0,0.9999939148825293,-0.0006382315191826462,-0.000851012214306639,-0.00016482944309012594,-0.0036555824458468908,-0.005942883428153056,1.0862394234864845e-05,-0.04134059324860573,-0.023631205782294273,-0.0006128367385827005,0.0,0.0,0.0,-0.07911219447851181,0.048662759363651276,13.311843872070312,7.242473602294922,0.37741705775260925,1.1423250436782837,0.016113577410578728,-0.028327997773885727,-0.30064859986305237,True
1713913469.864128,825,1713913469,858696222,,1.9998551607131958,-1.000230073928833,0.0015226824907585979,2.0,-1.0,0.3611240149615335,0.00014483928680419922,0.0002300739288330078,0.3596013324707749,0.0,0.0,0.0,-0.0032435443717986345,-0.0019823191687464714,0.037779998034238815,0.0,0.0,0.0,0.0032435443717986345,0.0019823191687464714,-0.037779998034238815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006218473426997662,-0.0005190987139940262,-0.00017846185073722154,0.9999997019767761,-0.001779228247947628,-0.002946881986954118,0.0,0.9999940750991462,-0.0012435099126860598,-0.0010384191617672513,-0.0003562781616550416,-0.003558504727178034,-0.00589376317527788,1.0486533481222007e-05,-0.05606010928750038,-0.013595649041235447,-0.05067373439669609,0.0,0.0,0.0,-0.07844202220439911,0.047360654920339584,13.309089660644531,7.242473602294922,0.3850293755531311,1.144850730895996,0.01649007573723793,-0.028963373973965645,-0.3076794147491455,True
1713913469.8734686,826,1713913469,868691205,,1.9998619556427002,-1.000203251838684,0.0015652456786483526,2.0,-1.0,0.3631240149615335,0.0001380443572998047,0.00020325183868408203,0.36155876928288516,0.0,0.0,0.0,-0.0030734073370695114,-0.002119852928444743,0.039718203246593475,0.0,0.0,0.0,0.0030734073370695114,0.002119852928444743,-0.039718203246593475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007295457762666047,-0.0005658302106894553,-0.00025232360349036753,0.9999995827674866,-0.0017551229048627759,-0.0029252786879879165,0.0,0.9999941811271635,-0.0014588067322138742,-0.0011320282618547072,-0.0005038217013668716,-0.0035102926697420074,-0.005850556708733708,1.0268622998887393e-05,-0.0550106018781662,-0.024703482165932655,-0.0332631915807724,0.0,0.0,0.0,-0.07785831391811371,0.04671380668878555,13.307613372802734,7.242473602294922,0.392566978931427,1.145304799079895,0.016769101843237877,-0.029422041028738022,-0.31286925077438354,True
1713913469.8838205,827,1713913469,878678321,,1.999852180480957,-1.0002036094665527,0.002157109323889017,2.0,-1.0,0.3671240149615335,0.00014781951904296875,0.00020360946655273438,0.3649669056376445,0.0,0.0,0.0,-0.0008338083862327039,-0.0019343304447829723,0.04791029542684555,0.0,0.0,0.0,0.0008338083862327039,0.0019343304447829723,-0.04791029542684555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011472812620922923,-0.0008840544614940882,-0.00028888662927784026,0.999998927116394,-0.001773166273598061,-0.003044287199057844,0.0,0.9999937940791512,-0.0022940547986063423,-0.0017687707539432483,-0.0005757450324304116,-0.0035463837058340502,-0.006088574230823321,1.0796254889181167e-05,-0.04116144776344299,-0.03614525496959686,-0.007782896514981985,0.0,0.0,0.0,-0.08100753277540207,0.04718340188264847,13.304596900939941,7.242473602294922,0.400037944316864,1.144515037536621,0.01716327667236328,-0.030055729672312737,-0.3198647201061249,True
