Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714203967.0255172,1766,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.032199,1767,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.038888,1768,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.0454993,1769,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.0521617,1770,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.058857,1771,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.0656507,1772,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.0722444,1773,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.078954,1774,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.085537,1775,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.0921447,1776,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.098966,1777,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1056209,1778,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1121297,1779,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1188264,1780,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.125552,1781,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.132263,1782,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1389055,1783,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1454628,1784,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1522837,1785,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1590402,1786,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1656032,1787,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1721826,1788,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1789346,1789,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1855063,1790,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1922112,1791,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.1989205,1792,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2055075,1793,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2121706,1794,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2188845,1795,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2259,1796,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2321289,1797,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2388291,1798,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2455602,1799,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2521482,1800,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2589145,1801,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.265559,1802,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2721155,1803,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203967.2788372,1804,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
