Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714203789.0686517,1892,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.075345,1893,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.0819068,1894,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.0885823,1895,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.0952635,1896,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1018417,1897,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1086824,1898,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1152525,1899,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1218455,1900,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.128557,1901,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.135258,1902,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1419713,1903,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.148787,1904,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1552072,1905,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1618907,1906,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1686163,1907,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1752684,1908,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1827536,1909,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1887898,1910,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.1954792,1911,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2024727,1912,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.208731,1913,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2152367,1914,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2221038,1915,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.228563,1916,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2358444,1917,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.242065,1918,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2486413,1919,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.255388,1920,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.261947,1921,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.268894,1922,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.275441,1923,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2819114,1924,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.288775,1925,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.2951958,1926,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3023167,1927,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3086362,1928,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3153183,1929,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.321987,1930,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3285172,1931,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3353438,1932,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3421767,1933,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.348591,1934,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3553565,1935,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.361931,1936,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.368733,1937,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3753486,1938,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3819072,1939,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3887105,1940,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.3953052,1941,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4020853,1942,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4086552,1943,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4152133,1944,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4219694,1945,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4285855,1946,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4354403,1947,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4421146,1948,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.448547,1949,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4553347,1950,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4619796,1951,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4691126,1952,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4753,1953,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.481895,1954,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.4886634,1955,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.495292,1956,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203789.5021944,1957,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
