Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714204025.6803322,1868,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.6871521,1869,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.6936374,1870,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.700327,1871,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7069871,1872,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.713695,1873,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7201998,1874,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.727012,1875,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7337773,1876,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7404556,1877,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7469866,1878,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7536023,1879,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7603052,1880,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7669353,1881,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7737098,1882,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.7814558,1883,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.786931,1884,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.793691,1885,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8002927,1886,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8069186,1887,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8136983,1888,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8202512,1889,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8269906,1890,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8336623,1891,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8403158,1892,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714204025.8470852,1893,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
