Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714203730.117544,1885,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1242645,1886,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1309195,1887,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.137603,1888,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1442373,1889,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1508305,1890,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.157649,1891,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1677096,1892,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1707802,1893,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1775074,1894,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1841521,1895,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1909363,1896,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.1975777,1897,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2042122,1898,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2109854,1899,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2175412,1900,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2242937,1901,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2309904,1902,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2375417,1903,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2441502,1904,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2508833,1905,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2576754,1906,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2642155,1907,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2708583,1908,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2775207,1909,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2843702,1910,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.290906,1911,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
1714203730.2975423,1912,0,0,,10.0,10.0,10.0,0.0,0.0,0.0
