Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1714201506.6173787,14100,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6241276,14101,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.63075,14102,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6371884,14103,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6440175,14104,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6507158,14105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6572082,14106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6640234,14107,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6707702,14108,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6773388,14109,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6841128,14110,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6906211,14111,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.6973028,14112,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7039926,14113,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7107131,14114,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.717173,14115,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7240546,14116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7307677,14117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7371655,14118,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7442057,14119,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7508655,14120,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.75729,14121,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.764136,14122,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7706242,14123,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7773976,14124,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.784024,14125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.7908435,14126,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.797236,14127,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8040464,14128,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8106127,14129,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8172185,14130,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8241413,14131,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8307183,14132,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.837286,14133,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8440256,14134,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8507173,14135,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8573358,14136,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8639805,14137,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8706455,14138,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.877263,14139,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.884015,14140,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.8908029,14141,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.897286,14142,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9041529,14143,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9105844,14144,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9172413,14145,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9242475,14146,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9307883,14147,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9373221,14148,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9439285,14149,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9508157,14150,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9574811,14151,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.96438,14152,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.970726,14153,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9775274,14154,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9841726,14155,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.9910214,14156,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201506.998915,14157,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0041573,14158,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.011056,14159,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0176492,14160,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0247116,14161,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.031039,14162,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.037516,14163,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0444465,14164,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0511138,14165,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0578213,14166,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0641801,14167,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.070661,14168,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0772195,14169,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.083926,14170,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.090793,14171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.0972552,14172,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.1038873,14173,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.1106803,14174,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1714201507.117236,14175,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
