Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713761594.2910285,198,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.2977054,199,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3043869,200,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3109698,201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3176687,202,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3243046,203,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3310702,204,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.337776,205,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3443615,206,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3510358,207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3576639,208,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3643231,209,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3709695,210,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3777254,211,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.384329,212,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.3910227,213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.397717,214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.404484,215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.411011,216,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4176555,217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4243827,218,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4310508,219,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4376607,220,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4443767,221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4510505,222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.4576774,223,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761594.46443,224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
