Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713824103.9222271,202,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9287827,203,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9354947,204,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9420278,205,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9488006,206,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9556546,207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.962114,208,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9689066,209,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9754019,210,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.9822009,211,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.988744,212,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824103.995639,213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0021234,214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0086987,215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0153692,216,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0221972,217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0288277,218,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0355139,219,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0420487,220,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0488043,221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0554762,222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0621436,223,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.068769,224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0754483,225,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0820653,226,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0887654,227,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.0954006,228,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1021066,229,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.108773,230,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1153977,231,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.122056,232,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.128744,233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1353345,234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1421912,235,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1487715,236,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1554234,237,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1620724,238,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1688828,239,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1754236,240,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1820714,241,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1887946,242,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.1954103,243,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2020726,244,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2089257,245,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.215416,246,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2220469,247,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2287207,248,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.235438,249,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.242101,250,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2487385,251,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2554169,252,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2620661,253,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2688088,254,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2754734,255,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2821136,256,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2887414,257,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.2954497,258,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3024971,259,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3089588,260,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3156245,261,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3227668,262,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3289337,263,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3356805,264,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3423774,265,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3489954,266,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3556433,267,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3625808,268,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.368927,269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3755682,270,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3825324,271,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3890746,272,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.3958397,273,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.402616,274,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4089828,275,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4157374,276,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4223135,277,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.428949,278,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.435638,279,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4424644,280,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4488604,281,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4554162,282,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4621468,283,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4687219,284,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4754062,285,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4820673,286,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4887204,287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.4954956,288,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.502053,289,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5087667,290,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5153906,291,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5220602,292,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5287902,293,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5353768,294,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5420053,295,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.548707,296,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5555193,297,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5621946,298,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5688155,299,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5754104,300,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.5820103,301,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.588743,302,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.595384,303,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6019866,304,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.60879,305,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6154363,306,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6220715,307,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.628658,308,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.635361,309,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6420107,310,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6486452,311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.655502,312,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6620252,313,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6686516,314,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6753771,315,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6820192,316,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6887095,317,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.6953928,318,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7020786,319,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7087266,320,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7154136,321,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7220004,322,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7287078,323,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713824104.7353609,324,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
