Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713583756.7999172,199,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8067732,200,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8132465,201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8199406,202,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8267782,203,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8333383,204,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8399308,205,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8466356,206,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8532772,207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8598905,208,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8666887,209,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8732686,210,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8798878,211,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8866248,212,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8933127,213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.8998952,214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.906599,215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9132752,216,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9198637,217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9265897,218,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.933248,219,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9398522,220,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9466233,221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9532566,222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9598684,223,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9665804,224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9732742,225,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9798741,226,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9865606,227,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9932818,228,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583756.9999044,229,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0066166,230,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.013259,231,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0199108,232,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0266182,233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0332808,234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0399065,235,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0466366,236,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0532548,237,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0599217,238,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0666072,239,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.073273,240,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0798872,241,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.086577,242,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0933022,243,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.0999086,244,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1065907,245,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1133037,246,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1199868,247,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1267302,248,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1333225,249,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1400468,250,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1467345,251,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1534407,252,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1599674,253,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1666884,254,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.173454,255,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1799955,256,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1867592,257,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1935496,258,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.1999679,259,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2066586,260,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.21353,261,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2200525,262,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2267518,263,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2332673,264,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2399268,265,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.24665,266,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2534115,267,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2599485,268,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.266601,269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713583757.2732348,270,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
