Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713608085.6407688,198,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6473815,199,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.654043,200,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6609015,201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6674187,202,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6740408,203,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6807413,204,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.687509,205,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.6940372,206,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7008104,207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7073467,208,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7140307,209,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7207277,210,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7274148,211,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7340517,212,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7406793,213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.747349,214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.754044,215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7607098,216,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.767291,217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7739809,218,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7806993,219,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7875528,220,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.7940645,221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8008053,222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8074212,223,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8141453,224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.820741,225,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8274891,226,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.834065,227,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.840787,228,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8475463,229,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.854141,230,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8607826,231,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.867337,232,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8740041,233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8807535,234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8874009,235,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.8940563,236,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.900905,237,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713608085.9073741,238,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
