Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713563029.665991,1,1713563029,665524005,,-0.00010012522398028523,-7.048009865684435e-05,5.980185505904956e-06,0.0,0.0,0.15801551723471505,0.00010012522398028523,7.048009865684435e-05,0.15800953704920914,0.0,0.0,0.0,-0.0020211138762533665,-0.002298169769346714,-0.0024279295466840267,0.0,0.0,0.0,0.0020211138762533665,0.002298169769346714,0.0024279295466840267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003939851885661483,-0.0005020230310037732,0.0006148098618723452,0.9999996423721313,-0.00034726061016216554,0.0003091618554687396,0.0,0.9999998919145021,-0.0007885878164025078,-0.0010035613491914052,0.0012300157067427417,-0.0006945213338576633,0.0006183236835056679,-2.1471951018411386e-07,0.008364354260265827,-0.010122333653271198,-0.004641009494662285,0.0,0.0,0.0,0.00814266969973687,0.00914611035695998,13.168938721560012,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.675916,2,1713563029,675524234,,-9.956565190805122e-05,-8.705000072950497e-05,-1.589263411005959e-05,0.0,0.0,0.16001551723471505,9.956565190805122e-05,8.705000072950497e-05,0.1600314098688251,0.0,0.0,0.0,-0.0010539187351241708,-0.0031726444140076637,-0.0013991979649290442,0.0,0.0,0.0,0.0010539187351241708,0.0031726444140076637,0.0013991979649290442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031555097666569054,-0.0005266752559691668,0.0005924573051743209,0.9999996423721313,-0.0004783395134957713,0.00016587286234706795,0.0,0.9999998718387435,-0.000631726177042743,-0.0010529764154685842,0.001185247491894438,-0.0009566791029571152,0.0003317456882622434,-1.586870972866659e-07,0.010859883390367031,-0.0005799882346764207,-0.007590719498693943,0.0,0.0,0.0,0.004369153761945199,0.012599643216526601,13.170183537722169,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.6860712,3,1713563029,685528993,,-9.226977999787778e-05,-0.00010766902414616197,-2.715839582378976e-05,0.0,0.0,0.16401551723471505,9.226977999787778e-05,0.00010766902414616197,0.16404267563053884,0.0,0.0,0.0,0.00018171066767536104,-0.0038705551996827126,-0.0019341600127518177,0.0,0.0,0.0,-0.00018171066767536104,0.0038705551996827126,0.0019341600127518177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000267181487288326,-0.0004980798112228513,0.0006256244378164411,0.9999997019767761,-0.0005831543555920088,-1.7779740331270182e-05,0.0,0.9999998298074247,-0.0005349862664799182,-0.0009958250652697337,0.0012515154616805973,-0.0011663087778413064,-3.55594746180748e-05,2.0736666044060733e-08,0.01485024206340313,0.0036404994316399097,0.00266119628213346,0.0,0.0,0.0,-0.0004687701759394258,0.0153751047415426,13.182699180689132,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.6959379,4,1713563029,695521116,,-7.420917245326564e-05,-0.00012722404790110886,-5.081169001641683e-05,0.0,0.0,0.16601551723471505,7.420917245326564e-05,0.00012722404790110886,0.16606632892473147,0.0,0.0,0.0,0.0008087250171229243,-0.0029715015552937984,-0.003174634650349617,0.0,0.0,0.0,-0.0008087250171229243,0.0029715015552937984,0.003174634650349617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020649436919484288,-0.000496598135214299,0.0006634643650613725,0.9999997019767761,-0.0004517477731821193,-0.00011222345089342733,0.0,0.9999998916649174,-0.0004136477261692442,-0.000992922001830506,0.0013271342908642541,-0.0009034955941626155,-0.00022444687935585205,1.0139339063375468e-07,6.510612001875415e-05,-0.0062668598257005215,0.012051284313201904,0.0,0.0,0.0,-0.0029610837184009145,0.011919638590188698,13.192798530340665,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.7059383,5,1713563029,705533504,,-5.2087343647144735e-05,-0.00013572712487075478,-6.381411367328838e-05,0.0,0.0,0.17001551723471506,5.2087343647144735e-05,0.00013572712487075478,0.17007933134838835,0.0,0.0,0.0,0.001298912102356553,-0.00284705962985754,-0.0008546971366740763,0.0,0.0,0.0,-0.001298912102356553,0.00284705962985754,0.0008546971366740763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022899673786014318,-0.0004228313628118485,0.0006967802764847875,0.9999997019767761,-0.0004341465428367926,-0.00018683717904648069,0.0,0.9999998883043177,-0.00045858270491858793,-0.0008453433514391368,0.0013937545726924263,-0.0008682931584157691,-0.00037367432505132906,1.622294420390688e-07,-0.022979794070124626,0.005743581801652908,0.014833888038992882,0.0,0.0,0.0,-0.004930330105707981,0.011456423081108369,13.194184580338838,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.715999,6,1713563029,715568304,,-2.6900814191321842e-05,-0.00014488019223790616,-4.929285205435008e-05,0.0,0.0,0.17201551723471506,2.6900814191321842e-05,0.00014488019223790616,0.1720648100867694,0.0,0.0,0.0,0.0014066204894334078,-0.0028326569590717554,0.0015712729655206203,0.0,0.0,0.0,-0.0014066204894334078,0.0028326569590717554,-0.0015712729655206203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035348357050679624,-0.0003930338134523481,0.0006748412852175534,0.9999997019767761,-0.0004330608733527008,-0.0002053041290167008,0.0,0.9999998851542407,-0.0007074975803546779,-0.0007855902737964699,0.00134996066942001,-0.0008661218285380024,-0.00041060822241481467,1.7781838581978777e-07,-0.022723983973264694,0.007860873825848103,-0.0018980446038767695,0.0,0.0,0.0,-0.005415877791892854,0.011424050640198403,13.189885541660068,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.7259138,7,1713563029,725507497,,-8.739868462726008e-06,-0.00014837071648798883,-7.545866083091823e-06,0.0,0.0,0.17601551723471506,8.739868462726008e-06,0.00014837071648798883,0.17602306310079815,0.0,0.0,0.0,0.001504975138232112,-0.00240461528301239,0.003964649513363838,0.0,0.0,0.0,-0.001504975138232112,0.00240461528301239,-0.003964649513363838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004808742960449308,-0.00029779571923427284,0.0005965150776319206,0.9999997019767761,-0.0003700961669541696,-0.00022161880874666437,0.0,0.9999999069569611,-0.0009621038267959125,-0.000595017551116358,0.0011933166036711368,-0.0007401924053375508,-0.0004432375907661975,1.6404055939784803e-07,-0.015254543162882328,0.03021254763007164,-0.013555980287492275,0.0,0.0,0.0,-0.005846679381102149,0.009763763466617092,13.190842830959957,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.736036,8,1713563029,735542297,,2.3957943540153792e-06,-0.00014892664330545813,7.147918222472072e-05,0.0,0.0,0.17801551723471506,-2.3957943540153792e-06,0.00014892664330545813,0.17794403805249034,0.0,0.0,0.0,0.0008722014026716352,-0.001915310975164175,0.008413889445364475,0.0,0.0,0.0,-0.0008722014026716352,0.001915310975164175,-0.008413889445364475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005651662359014153,-0.0003557293675839901,0.0005670898826792836,0.9999997019767761,-0.0002980965048200491,-0.0001292946006574762,0.0,0.9999999472106887,-0.0011307359286776466,-0.0007108174609802646,0.001134581855270519,-0.0005961930334197908,-0.0002585891905461128,7.708453967345415e-08,-0.02192290686070919,0.0009737035143189132,-0.003077134257182479,0.0,0.0,0.0,-0.003407814535739817,0.007856922075734475,13.178485330099553,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.745987,9,1713563029,745541095,,9.106675861403346e-06,-0.00014455453492701054,0.00019101385260000825,0.0,0.0,0.18201551723471507,-9.106675861403346e-06,0.00014455453492701054,0.18182450338211506,0.0,0.0,0.0,-2.9265967896208167e-05,-0.0021779413800686598,0.011653564870357513,0.0,0.0,0.0,2.9265967896208167e-05,0.0021779413800686598,-0.011653564870357513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007243757718242705,-0.0002903449349105358,0.0005022938130423427,0.9999996423721313,-0.00033659123357853056,3.4327684975210264e-06,0.0,0.9999999433472772,-0.0014490432416066723,-0.000579961911013944,0.0010050080958968327,-0.0006731824798801783,6.865536606144623e-06,-2.310879566394705e-09,-0.027679359540343285,0.017078733071684837,-0.004550201818346977,0.0,0.0,0.0,9.045991755556315e-05,0.008869813173078,13.175939805799105,0.0,0.0,0.0,0.0,0.0,0.0,True
1713563029.7559075,10,1713563029,755515336,,9.01424209587276e-06,-0.0001433243160136044,0.0003504912310745567,0.0,0.0,0.18401551723471507,-9.01424209587276e-06,0.0001433243160136044,0.1836650260036405,0.0,0.0,0.0,0.00044526008423417807,-0.0022038037423044443,0.015742778778076172,0.0,0.0,0.0,-0.00044526008423417807,0.0022038037423044443,-0.015742778778076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007868949905969203,-0.00027125878841616213,0.00047358713345602155,0.9999995827674866,-0.000340585945332484,-6.684317589052235e-05,0.0,0.9999999397666001,-0.001574047004864797,-0.0005417720055406418,0.0009476009786915593,-0.0006811719083993786,-0.0001336863441268691,4.553169290627022e-08,-0.017364634200930595,-0.005970768630504608,-0.00891171582043171,0.0,0.0,0.0,-0.0017599513579625637,0.008967477816622705,13.164777230374968,0.0,0.0,0.0,0.0,0.0,0.0,True
