Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713761503.550205,198,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.557006,199,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5635674,200,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5703087,201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5769196,202,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5835292,203,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5903316,204,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.5969744,205,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6035936,206,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6103063,207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6169877,208,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6237903,209,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6302743,210,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.636905,211,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6435978,212,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6503193,213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.657045,214,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.663675,215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6705546,216,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6770859,217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6837492,218,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6904023,219,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.6970162,220,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7037044,221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7103343,222,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7169914,223,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7236023,224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7301893,225,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.736912,226,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7435522,227,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7502038,228,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7568567,229,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7635992,230,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7702878,231,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7769141,232,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7835767,233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7901816,234,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.7969923,235,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.80359,236,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8102968,237,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.816934,238,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.823582,239,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8302424,240,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8368752,241,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8436198,242,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.850213,243,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.856919,244,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8636267,245,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8702736,246,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8770769,247,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8836048,248,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.890294,249,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.8970006,250,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9040172,251,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9111135,252,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9180422,253,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9249756,254,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.931773,255,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9374764,256,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.94426,257,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.951146,258,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9574537,259,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9640691,260,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9712856,261,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.977469,262,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.984497,263,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9907982,264,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761503.9974601,265,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0041416,266,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0109394,267,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0173287,268,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0240045,269,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0307562,270,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0373006,271,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.043764,272,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0510204,273,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0571961,274,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0636263,275,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0703447,276,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0769491,277,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0835426,278,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0903158,279,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.0970113,280,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1036093,281,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1104004,282,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1170003,283,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1235464,284,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.130348,285,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1371856,286,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1437004,287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1504335,288,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1568599,289,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1636102,290,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1702607,291,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1769292,292,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1835616,293,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.190211,294,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.1968434,295,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2035,296,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.210245,297,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.216834,298,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.223502,299,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2302542,300,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2368045,301,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2434735,302,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.250188,303,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2568638,304,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2635856,305,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2702286,306,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.276859,307,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2834704,308,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2902176,309,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.2968955,310,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3036401,311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.310477,312,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.31695,313,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.323601,314,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3302803,315,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3368666,316,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3435142,317,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.350237,318,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.35687,319,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3635418,320,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3702343,321,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3768315,322,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3834841,323,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3902185,324,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.3968198,325,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.403507,326,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4102516,327,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.416932,328,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4236333,329,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4303446,330,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4368658,331,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4436684,332,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4504328,333,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4569979,334,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4636664,335,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4702742,336,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.476865,337,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.483667,338,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4902935,339,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.4969194,340,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.503619,341,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.51026,342,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5169868,343,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5236144,344,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5302737,345,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5368671,346,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5435603,347,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5504208,348,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5569594,349,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5637324,350,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5703092,351,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5769734,352,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5836446,353,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5903592,354,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.5968728,355,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6035452,356,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.610262,357,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6171687,358,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.62368,359,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6302993,360,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6368742,361,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.643711,362,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6503773,363,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6568809,364,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6636038,365,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6702971,366,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6768768,367,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6836839,368,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.6902554,369,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.696884,370,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7036722,371,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7103183,372,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7171462,373,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7238462,374,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7303095,375,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.736915,376,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7437773,377,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.750356,378,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7569778,379,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7636242,380,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7702403,381,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7769244,382,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7835784,383,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7902937,384,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.7969086,385,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8038583,386,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8103328,387,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8170233,388,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.823606,389,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8302462,390,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.836952,391,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.843564,392,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8502822,393,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.856888,394,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8635898,395,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8702755,396,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8769026,397,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8836274,398,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.8902743,399,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.896859,400,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9035726,401,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9102864,402,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9170454,403,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9237516,404,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.930427,405,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9371297,406,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9437287,407,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.950336,408,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.956907,409,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9636862,410,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.970282,411,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9770026,412,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9836164,413,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.990231,414,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761504.9969347,415,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0036445,416,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0103061,417,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0169635,418,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.023634,419,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0303457,420,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0369437,421,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0435247,422,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0503101,423,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.056851,424,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0636322,425,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0702517,426,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0768845,427,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0835774,428,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0902536,429,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.0968862,430,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1036184,431,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1102574,432,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1169631,433,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.123712,434,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1303227,435,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1369567,436,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.143631,437,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1503131,438,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713761505.1569314,439,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
