Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713988828.969244,53,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988828.9759014,54,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988828.9826734,55,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988828.9891613,56,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988828.995889,57,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0026908,58,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0093117,59,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.015972,60,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0225375,61,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0292604,62,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0359151,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0426188,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0492625,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0559068,66,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0626473,67,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0692697,68,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.0758622,69,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.08265,70,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.089321,71,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.095964,72,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1026602,73,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.109308,74,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1158261,75,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1226857,76,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1291974,77,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1358316,78,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1425931,79,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1492126,80,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1558554,81,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1625884,82,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1692443,83,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.175945,84,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1825154,85,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1893313,86,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.1959162,87,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2026381,88,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2093198,89,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2158985,90,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2226393,91,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2293038,92,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2360106,93,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2426257,94,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2492828,95,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2559822,96,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2626472,97,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2692738,98,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.276131,99,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2828407,100,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2894025,101,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.2959962,102,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3034587,103,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3119013,104,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3167827,105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3235285,106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3301387,107,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.337229,108,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.343872,109,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3498003,110,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3567913,111,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3632698,112,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3696723,113,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3768802,114,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.383133,115,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3895295,116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.3960812,117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4028754,118,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4095168,119,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4162903,120,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4227676,121,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4294019,122,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4358897,123,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.442631,124,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4492395,125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4558513,126,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4626713,127,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4692254,128,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4758785,129,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4825974,130,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.489223,131,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.4958825,132,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.5025234,133,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.5092943,134,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.5159454,135,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713988829.5226483,136,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
