Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713990060.1441326,283,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.1507707,284,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.157522,285,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.16408,286,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.170734,287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.177497,288,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.1841516,289,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.1907501,290,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.1975398,291,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.204183,292,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2108617,293,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2175694,294,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.224129,295,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.230792,296,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.237547,297,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.244184,298,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2508268,299,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2575338,300,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2641482,301,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2707865,302,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2774749,303,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2841434,304,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2908237,305,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.2975016,306,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3041008,307,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3107448,308,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3174877,309,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3241465,310,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3308282,311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.337549,312,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3441553,313,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3507817,314,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.357489,315,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3640685,316,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.370813,317,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3775206,318,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3841352,319,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3907754,320,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.3975482,321,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.4040341,322,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713990060.4107814,323,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
