Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713933199.416008,1,1713933198,891842603,,0.9998862743377686,-0.9999477863311768,-7.457241736119613e-06,1.0,-1.0,1.0,0.00011372566223144531,-5.221366882324219e-05,1.0000074572417361,0.0,0.0,0.0,-0.0019384946208447218,0.0008303018403239548,9.598052565706894e-05,0.0,0.0,6.172838038764894e-05,0.0019384946208447218,-0.0008303018403239548,-3.425214526942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002188158396165818,-0.0005167503259144723,-0.0001406829833285883,0.9999998807907104,-0.0017140106765305082,-0.007974556403377069,0.0,0.9999667337554636,-0.00043748643661332514,-0.0010335621804576525,-0.0002811399136009742,-0.003428350071327516,-0.015949258423387718,2.7340426974765026e-05,7.657592504983768e-06,1.4092065612203442e-05,5.039016286900733e-06,0.0,0.0,0.0,-0.21834667026996613,0.04693032428622246,13.688841819763184,6.7609100341796875,0.021170685067772865,1.1843727827072144,0.0011171337682753801,-0.0014441609382629395,-0.019145766273140907,True
1713933199.419902,2,1713933199,415870428,,0.9998586773872375,-0.9998877048492432,1.5685352991567925e-05,1.0,-1.0,1.0,0.00014132261276245117,-0.00011229515075683594,0.9999843146470084,0.0,0.0,0.0,-0.0029770205728709698,0.0028561202343553305,0.006917556282132864,0.0,0.0,6.172838038764894e-05,0.0029770205728709698,-0.0028561202343553305,-0.006855827901745215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025876369909383357,-0.0009788895258679986,-0.00028362497687339783,0.999999463558197,-0.003982377862923175,-0.009128541074824652,0.0,0.9999504039723182,-0.0005169728425271869,-0.001957925972032011,-0.0005667441453825126,-0.007965772492788594,-0.018257190917082278,7.271871900601212e-05,-0.028001882135868073,-0.044038042426109314,-0.01367075927555561,0.0,0.0,0.0,-0.26841822266578674,0.11709897220134735,14.699954986572266,6.7609100341796875,1.1533691883087158,1.1841020584106445,0.058616358786821365,-0.0775662511587143,-1.042609453201294,True
1713933199.4295719,3,1713933199,425957441,,0.9998496174812317,-0.9998819828033447,0.00013476746971718967,1.0,-1.0,1.0,0.00015038251876831055,-0.00011801719665527344,0.9998652325302828,0.0,0.0,0.0,-0.0034285271540284157,0.002047843998298049,0.015063016675412655,0.0,0.0,6.172838038764894e-05,0.0034285271540284157,-0.002047843998298049,-0.015001288295025006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004499666392803192,-0.0012680810177698731,-0.0002947226457763463,0.9999991059303284,-0.00407381792043039,-0.009097631103795292,0.0,0.999950317323741,-0.0008991879249773848,-0.0025364274413851294,-0.0005883054383394419,-0.008148670066810564,-0.018195362195065144,7.413645720065996e-05,-0.05444791913032532,-0.08255001157522202,0.009692762978374958,0.0,0.0,0.0,-0.2676216661930084,0.11983799934387207,14.706124305725098,6.7609100341796875,1.1754769086837769,1.1831698417663574,0.059580881148576736,-0.07889916002750397,-1.0607502460479736,True
1713933199.4394302,4,1713933199,435949802,,0.9998383522033691,-0.9998802542686462,0.00036535324761644006,1.0,-1.0,1.0,0.00016164779663085938,-0.00011974573135375977,0.9996346467523836,0.0,0.0,0.0,-0.004045794252306223,0.002363366773352027,0.02653643861413002,0.0,0.0,6.172838038764894e-05,0.004045794252306223,-0.002363366773352027,-0.02647471023374237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007471765275113285,-0.0016059180488809943,-0.00026532853371463716,0.9999984502792358,-0.004134356779264055,-0.009011089592296103,0.0,0.9999508524714509,-0.0014935066463713825,-0.0032122327914388153,-0.0005282591293278082,-0.008269744394693836,-0.018022269035231027,7.452222092027428e-05,-0.08042339980602264,-0.06937696039676666,0.01891906000673771,0.0,0.0,0.0,-0.2649848163127899,0.12157706916332245,14.701094627380371,6.7609100341796875,1.1971558332443237,1.181449294090271,0.060582540929317474,-0.0803004652261734,-1.0794761180877686,True
1713933199.4501097,5,1713933199,445956707,,0.9998239874839783,-0.9998779892921448,0.0007225832086987793,1.0,-1.0,1.0,0.00017601251602172852,-0.00012201070785522461,0.9992774167913012,0.0,0.0,0.0,-0.00326183857396245,0.0012757433578372002,0.03966495394706726,0.0,0.0,6.172838038764894e-05,0.00326183857396245,-0.0012757433578372002,-0.03960322556667961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010452511487528682,-0.0019801780581474304,-0.00022628955775871873,0.9999975562095642,-0.004117638341938688,-0.008885580571116432,0.0,0.9999520446063398,-0.0020896185428938055,-0.003960829151002945,-0.0004484418958679005,-0.008236275406750714,-0.017771244314980065,7.318677107900044e-05,-0.03752337396144867,-0.08247446268796921,-0.011373906396329403,0.0,0.0,0.0,-0.2611532509326935,0.12102019041776657,14.693225860595703,6.7609100341796875,1.2186216115951538,1.1808669567108154,0.061623357236385345,-0.08177034556865692,-1.0988999605178833,True
1713933199.4597156,6,1713933199,455952644,,0.9998177289962769,-0.9998854398727417,0.0012256427435204387,1.0,-1.0,1.0,0.00018227100372314453,-0.00011456012725830078,0.9987743572564796,0.0,0.0,0.0,-0.0033297406043857336,0.0008454349590465426,0.05424324795603752,0.0,0.0,6.172838038764894e-05,0.0033297406043857336,-0.0008454349590465426,-0.05418151957564987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012802754063159227,-0.0024530787486582994,-0.00023044587578624487,0.9999961853027344,-0.00424083847989581,-0.008873757573353052,0.0,0.9999516346881568,-0.0025594438403980548,-0.004906748144824093,-0.000454614212398925,-0.00848270434796154,-0.017747588447981456,7.527620004850123e-05,-0.05018787458539009,-0.08776963502168655,0.009451031684875488,0.0,0.0,0.0,-0.26058220863342285,0.12453427910804749,14.680611610412598,6.7609100341796875,1.2397217750549316,1.1802173852920532,0.06256759911775589,-0.0831199660897255,-1.1163239479064941,True
1713933199.4696128,7,1713933199,465948104,,0.9998105764389038,-0.9998952150344849,0.0018828166648745537,1.0,-1.0,1.0,0.0001894235610961914,-0.00010478496551513672,0.9981171833351254,0.0,0.0,0.0,-0.003747672075405717,0.00047007366083562374,0.06956855952739716,0.0,0.0,6.172838038764894e-05,0.003747672075405717,-0.00047007366083562374,-0.0695068311470095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001474084914661944,-0.0028765257447957993,-0.00021545382332988083,0.9999948143959045,-0.0042830407488409225,-0.008804499400153976,0.0,0.9999520670273434,-0.002946967708065269,-0.005753687891652485,-0.0004224318787863385,-0.008567103886657964,-0.01760906476854883,7.543175408488841e-05,-0.028511421754956245,-0.0817275196313858,-0.0033556006383150816,0.0,0.0,0.0,-0.2582401931285858,0.1256236433982849,14.663130760192871,6.7609100341796875,1.2604624032974243,1.1796869039535522,0.06354064494371414,-0.0845097154378891,-1.1337409019470215,True
1713933199.4799788,8,1713933199,475967645,,0.9997909665107727,-0.9999103546142578,0.0026968035381287336,1.0,-1.0,1.0,0.00020903348922729492,-8.96453857421875e-05,0.9973031964618713,0.0,0.0,0.0,-0.004972456954419613,-0.0004118866636417806,0.08519504964351654,0.0,0.0,6.172838038764894e-05,0.004972456954419613,0.0004118866636417806,-0.08513332126312889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016650366596877575,-0.0032826587557792664,-0.00023733450507279485,0.9999932646751404,-0.0043974647496528105,-0.008624123452221195,0.0,0.9999531423014063,-0.003328570167794933,-0.0065661099355518796,-0.0004637442701281423,-0.008795939172880223,-0.01724829391694537,7.585984183823829e-05,-0.0403669998049736,-0.07458171993494034,-0.0019464652286842465,0.0,0.0,0.0,-0.2526845932006836,0.12884457409381866,14.647811889648438,6.7609100341796875,1.2808758020401,1.1797007322311401,0.06448440253734589,-0.08588878065347672,-1.1504957675933838,True
1713933199.4895105,9,1713933199,485936164,,0.9997701048851013,-0.9999226927757263,0.0036638949532061815,1.0,-1.0,1.0,0.00022989511489868164,-7.730722427368164e-05,0.9963361050467938,0.0,0.0,0.0,-0.00431910902261734,-0.0004122631507925689,0.10066284239292145,0.0,0.0,6.172838038764894e-05,0.00431910902261734,0.0004122631507925689,-0.1006011140125338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001968969823792577,-0.003668088698759675,-0.0003221851366106421,0.9999913573265076,-0.004401532510335557,-0.008477228820012386,0.0,0.999954380510978,-0.003935657518271846,-0.007337447475435598,-0.0006299368964763518,-0.00880404250030645,-0.016954496450310604,7.46363236003255e-05,-0.0620245598256588,-0.09282594919204712,-0.005881060846149921,0.0,0.0,0.0,-0.24799765646457672,0.12876492738723755,14.625282287597656,6.7609100341796875,1.3007283210754395,1.1798897981643677,0.06519971042871475,-0.08699816465377808,-1.1632099151611328,True
1713933199.4997182,10,1713933199,495944976,,0.9997403621673584,-0.9999183416366577,0.004799285903573036,1.0,-1.0,1.0,0.00025963783264160156,-8.165836334228516e-05,0.995200714096427,0.0,0.0,0.0,-0.00574151799082756,0.0014208018546923995,0.11658462882041931,0.0,0.0,6.172838038764894e-05,0.00574151799082756,-0.0014208018546923995,-0.11652290044003166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022007355000823736,-0.0040597147308290005,-0.00031796525581739843,0.9999893307685852,-0.004317247577816696,-0.008338759265590528,0.0,0.9999559122617668,-0.004399001198306399,-0.008120830898036578,-0.0006180753757726917,-0.00863542269383859,-0.016677556364742725,7.201099091325996e-05,-0.04217693582177162,-0.0865265354514122,-0.01310980785638094,0.0,0.0,0.0,-0.24369296431541443,0.12616778910160065,14.610130310058594,6.7609100341796875,1.3202639818191528,1.179386019706726,0.06637710332870483,-0.08872886002063751,-1.184097409248352,True
