Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713933194.0267103,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0333872,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0400782,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0467186,66,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0533493,67,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0600154,68,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.066688,69,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0733747,70,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0800538,71,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0867484,72,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.0933595,73,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1000793,74,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.106719,75,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1133618,76,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1200395,77,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1267033,78,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.133399,79,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1400895,80,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1467535,81,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1533582,82,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1600566,83,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1667526,84,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1733603,85,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1800888,86,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1867676,87,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.1933649,88,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.200106,89,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2067702,90,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2133758,91,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2200603,92,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2267513,93,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2334177,94,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.240123,95,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2467203,96,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2533853,97,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.260021,98,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2667332,99,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2733397,100,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2800262,101,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.286743,102,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.2933857,103,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3000972,104,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.306795,105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.313407,106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3201234,107,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.326839,108,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3334138,109,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3400993,110,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.346718,111,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3533437,112,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3600729,113,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.366704,114,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3733659,115,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3800662,116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3867953,117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.3933725,118,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4000463,119,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.406794,120,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4133523,121,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4201207,122,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4267995,123,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.433368,124,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4400456,125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4467382,126,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4533575,127,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4600716,128,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4666996,129,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.473338,130,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4800363,131,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4867203,132,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.4933515,133,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5000758,134,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5066996,135,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5133724,136,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.520068,137,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5267463,138,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5333385,139,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5400186,140,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5466862,141,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5533776,142,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5600283,143,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.566708,144,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.573345,145,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.580064,146,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.5867689,147,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.593384,148,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6000857,149,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6067252,150,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6134012,151,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6200492,152,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6267157,153,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6333964,154,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6400447,155,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6467142,156,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6534545,157,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6600478,158,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6667144,159,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6733744,160,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6800907,161,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6867504,162,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.6933954,163,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.700011,164,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.7067225,165,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.7133906,166,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933194.7201002,167,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
