Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,w_nominal.x,w_nominal.y,w_nominal.z,w_gust.x,w_gust.y,w_gust.z
1713933348.602665,49,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6093552,50,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.616049,51,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.622696,52,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.629372,53,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6360044,54,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6426435,55,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.649337,56,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.65596,57,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6626341,58,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.669297,59,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6759298,60,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6826282,61,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6893218,62,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.6959753,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7026536,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.709316,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7159755,66,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.722702,67,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7292733,68,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7359383,69,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7426596,70,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7493446,71,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7559774,72,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7627068,73,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.769373,74,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7759728,75,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7826805,76,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7892973,77,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.7959433,78,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8025963,79,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8093112,80,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8160036,81,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8226995,82,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8293097,83,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8359334,84,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8426251,85,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8492932,86,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8559403,87,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1713933348.8626175,88,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
