Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713933127.3313603,1,1713933127,331143856,,1.0002598762512207,-1.0002442598342896,-4.858242755290121e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028426791541278362,-0.0025852106045931578,-0.0035077170468866825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012421577412169427,-1.6517180483788252e-05,0.0001282021403312683,1.0,0.0,0.0,0.0,1.0,-0.000248435778025783,-3.300251045671665e-05,0.0002564083787600037,0.0,0.0,0.0,0.023265337571501732,0.008854475803673267,0.0037223363760858774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.3413792,2,1713933127,341152667,,1.0002498626708984,-1.000227451324463,-8.322937355842441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028950413689017296,-0.0014140106504783034,-0.005385479424148798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.917751983972266e-05,-9.617788236937486e-06,0.00013333770039025694,1.0,0.0,0.0,0.0,1.0,-0.0001783576008796086,-1.921179452808612e-05,0.0002666771124849066,0.0,0.0,0.0,-0.006965114269405603,-0.02853027917444706,0.00033666740637272596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.351515,3,1713933127,351151704,,1.000240683555603,-1.000209927558899,-0.0001260845601791516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002912547206506133,-0.0012357281520962715,-0.00562525587156415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.437634485540912e-05,-1.743173379509244e-05,0.0001832422858569771,1.0,0.0,0.0,0.0,1.0,-0.00014875907294812426,-3.483620844132602e-05,0.00036648715871308844,0.0,0.0,0.0,0.0005982364527881145,0.004854422528296709,0.006394525524228811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.3614953,4,1713933127,361125469,,1.000231146812439,-1.0001873970031738,-0.00015829704352654517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027658583130687475,-0.000505137606523931,-0.004083734937012196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015527837967965752,1.1810985597549006e-05,0.00017156574176624417,1.0,0.0,0.0,0.0,1.0,-0.0003105526950448792,2.3675250827067842e-05,0.00034312780395931425,0.0,0.0,0.0,-0.01442068163305521,0.004456353839486837,0.002268093405291438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.3713737,5,1713933127,371151447,,1.0002237558364868,-1.0001649856567383,-0.0001682453294051811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018966550705954432,-0.0007524190004914999,-0.0025084083899855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00027671994757838547,5.329944906407036e-05,0.00019375723786652088,1.0,0.0,0.0,0.0,1.0,-0.0005534192075228821,0.00010670611883605976,0.0003874849442750593,0.0,0.0,0.0,-0.026321791112422943,0.02398786135017872,-0.004446131177246571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.3815084,6,1713933127,381156682,,1.000206470489502,-1.0001416206359863,-0.00016243854770436883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013616613578051329,0.0007010949775576591,-0.0015986186917871237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031229897285811603,5.804315514978953e-05,0.00024265104730147868,1.0,0.0,0.0,0.0,1.0,-0.0006245697222837026,0.00011623785133461299,0.00048526578575568694,0.0,0.0,0.0,-0.0017419185023754835,0.014353333041071892,0.008016522973775864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.3914163,7,1713933127,391152143,,1.00018310546875,-1.0001132488250732,-0.00015760018141008914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005465464200824499,0.0006093501579016447,-0.0021104910410940647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028859288431704044,8.451206667814404e-05,0.00025288606411777437,0.9999999403953552,0.0,0.0,0.0,1.0,-0.0005771430103840302,0.00016917008037611024,0.0005057233299341126,0.0,0.0,0.0,0.0033647757954895496,0.01906641572713852,-0.015022624284029007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.4014387,8,1713933127,401157617,,1.0001600980758667,-1.0000889301300049,-0.00015373880160041153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014079536776989698,0.0010106530971825123,-0.0021957752760499716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003029277140740305,0.00018247337720822543,0.00018269654538016766,0.9999999403953552,0.0,0.0,0.0,1.0,-0.0006057887711774666,0.000365057414144622,0.0003652825346283229,0.0,0.0,0.0,-0.01662655733525753,0.01995890960097313,-0.01480992790311575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.411481,9,1713933127,411175489,,1.000128149986267,-1.0000666379928589,-0.00016160873929038644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000931019545532763,0.0017246473580598831,-0.003930949606001377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039953552186489105,0.00024682021467015147,0.00015225258539430797,0.9999999403953552,0.0,0.0,0.0,1.0,-0.0007989959209889241,0.000493762019129186,0.00030430792965152967,0.0,0.0,0.0,-0.01635507121682167,0.01275781262665987,-0.006075374316424131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933127.4237375,10,1713933127,421157836,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
