Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,p.x,p.y,p.z,p_ref.x,p_ref.y,p_ref.z,p_err.x,p_err.y,p_err.z,p_err_int.x,p_err_int.y,p_err_int.z,v.x,v.y,v.z,v_ref.x,v_ref.y,v_ref.z,v_err.x,v_err.y,v_err.z,a_ff.x,a_ff.y,a_ff.z,a_fb.x,a_fb.y,a_fb.z,j_ff.x,j_ff.y,j_ff.z,j_fb.x,j_fb.y,j_fb.z,q.x,q.y,q.z,q.w,q_ref.x,q_ref.y,q_ref.z,q_ref.w,rpy.x,rpy.y,rpy.z,rpy_ref.x,rpy_ref.y,rpy_ref.z,w.x,w.y,w.z,w_ref.x,w_ref.y,w_ref.z,F_W.x,F_W.y,F_W.z,P_norm,A_norm,y_norm,f_hat.x,f_hat.y,f_hat.z,power
1713933257.546604,1,1713933257,546400547,,0.9998597502708435,-0.999848484992981,0.0003645659307949245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020984464790672064,0.0015995915746316314,0.006374269723892212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003748384478967637,8.286049705930054e-05,2.972448965010699e-05,1.0,0.0,0.0,0.0,1.0,-0.0007496719391975728,0.00016574325406860252,5.938685274631023e-05,0.0,0.0,0.0,0.002510054036974907,-0.0056911651045084,0.007023072335869074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933257.556656,2,1713933257,556377887,,0.9998644590377808,-0.9998506307601929,0.000363964558346197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016769884387031198,0.0020340424962341785,0.005961545743048191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003593711880967021,0.00012296591012272984,6.350500916596502e-05,1.0,0.0,0.0,0.0,1.0,-0.0007187267353247076,0.0002459774299883851,0.0001269216228793306,0.0,0.0,0.0,0.013884663581848145,-0.0013348545180633664,0.013500738888978958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933257.5665872,3,1713933257,566383361,,0.9998697638511658,-0.9998512268066406,0.0003640195936895907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014883206458762288,0.0023649740032851696,0.005731306038796902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029951948090456426,0.00014481884136330336,4.140957389608957e-05,1.0,0.0,0.0,0.0,1.0,-0.0005990269616615925,0.0002896624601675993,8.273238992992928e-05,0.0,0.0,0.0,0.013181563466787338,0.00827016681432724,-0.0052927774377167225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933257.5767171,4,1713933257,576387405,,0.9998730421066284,-0.9998570084571838,0.00036021083360537887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009895390830934048,0.0011281779734417796,0.0056436024606227875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026477035135030746,0.00011446530697867274,-1.0886062227655202e-05,1.0,0.0,0.0,0.0,1.0,-0.0005295431893542922,0.00022892483226886435,-2.183273724903249e-05,0.0,0.0,0.0,0.004983662627637386,-0.0019552551675587893,-0.007010000292211771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933257.5865612,5,1713933257,586377143,,0.9998826384544373,-0.9998700022697449,0.00035501373349688947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00137551489751786,0.00100798811763525,0.005034023895859718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025407643988728523,0.00014307163655757904,-3.786459274124354e-05,1.0,0.0,0.0,0.0,1.0,-0.0005081637132096838,0.00028612401127960584,-7.580188436836097e-05,0.0,0.0,0.0,-0.0037016114220023155,0.01720789447426796,-0.01728367991745472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933257.598668,6,1713933257,596383333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1713933258.1466923,7,1713933257,606389999,,1.000031590461731,-0.9999919533729553,-2.6052879547933117e-05,1.0,-1.0,1.0,-3.159046173095703e-05,-8.046627044677734e-06,1.000026052879548,0.0,0.0,0.0,0.0006040660082362592,0.00017518913955427706,-0.000489516300149262,0.0,0.0,5.843268445460126e-05,-0.0006040660082362592,-0.00017518913955427706,0.0005479489846038632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.184584632748738e-05,0.000107822626887355,-7.054885645629838e-05,1.0,-0.0014231044193225913,-0.003755411008833073,0.0,0.9999919357984675,-0.00018370690688551317,0.00021563229080779207,-0.00014111751924922593,-0.0028462700115584865,-0.007510832066276614,1.0688985501595123e-05,4.351707957539475e-06,-1.8179737253376516e-06,8.01163480446121e-07,0.0,0.0,0.0,-0.10410629212856293,0.03945084288716316,13.860504150390625,7.281409740447998,0.020756864920258522,1.2527552843093872,0.0009739244123920798,-0.001265896949917078,-0.017527278512716293,True
1713933258.1510468,8,1713933258,146486759,,1.0000418424606323,-0.9999990463256836,3.146820381516591e-05,1.0,-1.0,1.0,-4.184246063232422e-05,-9.5367431640625e-07,0.9999685317961848,0.0,0.0,0.0,0.00038372346898540854,0.0009847511537373066,0.009682134725153446,0.0,0.0,5.843268445460126e-05,-0.00038372346898540854,-0.0009847511537373066,-0.009623702040698845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003090907703153789,6.359671715472359e-06,7.579245720990002e-05,1.0,-0.003627523341308572,-0.005528253114018612,0.0,0.9999781395070173,-0.0006181805533881849,1.2766195635760626e-05,0.00015158096822247326,-0.007255395201462745,-0.011056489794530487,4.011018605553968e-05,-0.03045797348022461,-0.015011893585324287,0.01632409170269966,0.0,0.0,0.0,-0.16419771313667297,0.10774308443069458,14.84980297088623,7.281409740447998,1.1880226135253906,1.2563395500183105,0.057682380080223083,-0.07243791222572327,-1.0065197944641113,True
1713933258.1611574,9,1713933258,156572580,,1.000032901763916,-0.9999881982803345,0.0001910473802126944,1.0,-1.0,1.0,-3.2901763916015625e-05,-1.1801719665527344e-05,0.9998089526197873,0.0,0.0,0.0,-0.0005379782523959875,0.0014664378250017762,0.018927596509456635,0.0,0.0,5.843268445460126e-05,0.0005379782523959875,-0.0014664378250017762,-0.018869163825002033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036852475022897124,-0.00020035533816553652,8.464358688797802e-05,1.0,-0.003603440160071348,-0.0054453551159014246,0.0,0.9999786814360968,-0.000737083408974051,-0.00040064822717063357,0.00016943482896086929,-0.00720721648084458,-0.010890693342000662,3.924635005792262e-05,-0.006875555031001568,-0.05538999289274216,-0.006137120071798563,0.0,0.0,0.0,-0.16160660982131958,0.10694247484207153,14.837993621826172,7.281409740447998,1.2103967666625977,1.2509703636169434,0.05833236873149872,-0.07320821285247803,-1.0172945261001587,True
1713933258.1703942,10,1713933258,166573762,,1.000015377998352,-0.9999773502349854,0.00045200277236290276,1.0,-1.0,1.0,-1.537799835205078e-05,-2.2649765014648438e-05,0.9995479972276371,0.0,0.0,0.0,-0.0021122556645423174,0.0017401844961568713,0.03059147670865059,0.0,0.0,5.843268445460126e-05,0.0021122556645423174,-0.0017401844961568713,-0.030533044024195988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005495018558576703,-0.0004511942679528147,-1.2205279745103326e-05,0.9999997615814209,-0.003618532885027234,-0.005317661519748968,0.0,0.9999793141339082,-0.001098993072788077,-0.0009024018308568657,-2.391469854487704e-05,-0.007237388548992331,-0.010635303530127739,3.84864427449298e-05,-0.04793306812644005,-0.05732402577996254,-0.01768695004284382,0.0,0.0,0.0,-0.1577366143465042,0.10733573883771896,14.830469131469727,7.281409740447998,1.2321960926055908,1.2551838159561157,0.05955949425697327,-0.0747264176607132,-1.0383622646331787,True
